BU Wise - Community Unique Within Quarter,Active HC,FY26 Attendees ,% FY26,Last quarter %,BU Wise - Site Events Unique Attendees within quarter,FY26 Attendees ,% FY26,Last quarter %
CTREC,107,42,39.25%,20.56%,CTREC,98,91.59%,67.29%
GTM Tech,358,146,40.78%,25.42%,GTM Tech,349,97.49%,70.39%
CG,204,63,30.88%,16.67%,CG,177,86.76%,67.65%
PDX,448,197,43.97%,23.88%,PDX,446,99.55%,63.39%
SBG,132,49,37.12%,12.88%,SBG,127,96.21%,53.03%
Mid-Market,397,97,24.43%,0.00%,Mid-Market,385,96.98%,88.92%
FinTech,149,65,43.62%,17.45%,FinTech,132,88.59%,46.98%
VEP,159,58,36.48%,18.87%,VEP,156,98.11%,49.69%
Finance & Accounting,34,10,29.41%,8.82%,Finance & Accounting,34,100.00%,58.82%
GBSG,29,16,55.17%,31.03%,GBSG,25,86.21%,31.03%
P&P,39,22,56.41%,43.59%,P&P,34,87.18%,76.92%
Services,7,3,42.86%,0.00%,Services,7,100.00%,28.57%
Foresight,4,0,0.00%,0.00%,Foresight,0,0.00%,0.00%
Customer Success,3,1,33.33%,33.33%,Customer Success,3,100.00%,0.00%
IIOS,6,4,66.67%,66.67%,IIOS,6,100.00%,66.67%
Marketing & Comms,5,2,40.00%,20.00%,Marketing & Comms,5,100.00%,60.00%
Not Mapped,0,109,,,Not Mapped,681,,
Total,2081,833,40.03%,22.06%,Total,1952,93.80%,61.60%
External,0,133,,,External,74,,
