,Aug'25,,,,,,,Total Unique Attendees,85,1,,Total Unique Attendees,"1,609",,,
,SL.NO,Event Name,Community,Total Attendees,NPS,Slack Message,,BU,Unique Attendees in the month,,,BU,Unique Attendees for the Quarter,,Community,Unique Attendees for the Quarter
,1,iLEAD offsite,iLead,66,-,,,GBSG,28,,,GBSG,429,,WE,191
,2,WILL closure,WE,19,-,,,CTREC,12,,,GTM Tech,259,,iLead,66
,3,,,,,,,PDX,17,,,VEP,122,,PM,230
,4,,,,,,,P&P,9,,,CG,127,,XD,15
,5,,,,,,,Marketing & Comms,1,,,PDX,382,,PMO,21
,6,,,,,,,VEP,5,,,CTREC,97,,Site Events,"1,292"
,7,,,,,,,CG,8,,,P&P,35,,Site Tech Events,389
,8,,,,,,,IIOS,1,,,Finance & Accounting,24,,,
,9,,,,,,,Finance & Accounting,1,,,IIOS,4,,,
,10,,,,,,,GTM Tech,3,,,Marketing & Comms,4,,,
,11,,,,,,,,,,,FinTech,43,,,
,12,,,,,,,,,,,Customer,1,,,
,13,,,,,,,,,,,CreditKarma,27,,,
,14,,,,,,,,,,,Not Mapped,55,,,
,15,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,
,27,,,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,
,34,,,,,,,,,,,,,,,
